,Latitude,Longitude,City,Country,PostalCode,Street,OperatorName
1436,47.654075,9.139901,Tägerwilen,CHE,8274,Stationsstrasse 2,Bgdi_Admin
1437,47.367134,8.782464,Pfäffikon,CHE,8330,Hochstrasse 1,Bgdi_Admin
1438,46.645231,7.065152,Riaz,CHE,1632,Route du Temple-Romain 11,Bgdi_Admin
1439,46.645231,7.065152,Riaz,CHE,1632,Route du Temple-Romain 11,Bgdi_Admin
1440,46.235213,6.118014,Le Grand-Saconnex,CHE,1218,Route François-Peyrot 30,Bgdi_Admin
1441,46.235213,6.118014,Le Grand-Saconnex,CHE,1218,Route François-Peyrot 30,Bgdi_Admin
1442,46.235213,6.118014,Le Grand-Saconnex,CHE,1218,Route François-Peyrot 30,Bgdi_Admin
1443,46.235213,6.118014,Le Grand-Saconnex,CHE,1218,Route François-Peyrot 30,Bgdi_Admin
1444,47.12703,7.046083,Nods,CHE,2518,Chasseral 1,Bgdi_Admin
1445,46.983778,6.875136,Corcelles-Cormondrèche,CHE,2035,Rue de la croix 4,Bgdi_Admin
1446,46.983778,6.875136,Corcelles-Cormondrèche,CHE,2035,Rue de la croix 4,Bgdi_Admin
1447,47.119512,8.374233,Inwil,CHE,6034,SOCAR St. Katharina Nord,Bgdi_Admin
1448,47.119512,8.374233,Inwil,CHE,6034,SOCAR St. Katharina Nord,Bgdi_Admin
1449,47.119512,8.374233,Inwil,CHE,6034,SOCAR St. Katharina Nord,Bgdi_Admin
1450,46.26639,6.946904,Collombey-Muraz,CHE,1868,Chemin des Vergers 3,Bgdi_Admin
1451,47.177573,8.123571,Schenkon,CHE,6214,Zellgut 8 / Lehner Versand,Bgdi_Admin
1452,46.213233,7.317259,Sion,CHE,1950,Aire de repos Les Îles,Bgdi_Admin
1453,46.213233,7.317259,Sion,CHE,1950,Aire de repos Les Îles,Bgdi_Admin
1454,46.213233,7.317259,Sion,CHE,1950,Aire de repos Les Îles,Bgdi_Admin
1455,46.213233,7.317259,Sion,CHE,1950,Aire de repos Les Îles,Bgdi_Admin
1456,46.970633,7.495847,Bolligen,CHE,3065,Eisengasse 1,Bgdi_Admin
1457,46.788441,10.269657,Scuol,CHE,7550,Nairs 160b,Bgdi_Admin
1458,46.944961,7.41596,Bern,CHE,3008,Huberstrasse 16,Bgdi_Admin
1459,47.044427,8.273356,Kriens,CHE,6010,Zumhofstrasse 285,Bgdi_Admin
1460,46.48948,7.263405,Saanen,CHE,3792,Dorfstrasse 6,Bgdi_Admin
1461,46.48948,7.263405,Saanen,CHE,3792,Dorfstrasse 6,Bgdi_Admin
1462,46.950613,7.473621,Bern,CHE,3001,Monument im Fruchtland,Bgdi_Admin
