,web-scraper-order,web-scraper-start-url,Preis,plz,jahr,ps-stand,Farbe,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK,Hist.-Nummer,Kanton,Bezirks-nummer,Bezirksname,BFS Gde-nummer,Gemeindename,Datum der Aufnahme
441,1669622809-630,https://www.autolina.ch/elektro-auto,55'110,4900,,204.0,schwarz,4900.0,98.04,BE,329.0,Langenthal,16606.0,BE,244.0,Oberaargau,329,Langenthal,2021-01-01
442,1669622809-631,https://www.autolina.ch/elektro-auto,63'440,4900,,204.0,weiss,4900.0,98.04,BE,329.0,Langenthal,16606.0,BE,244.0,Oberaargau,329,Langenthal,2021-01-01
443,1669622809-632,https://www.autolina.ch/elektro-auto,65'710,4900,,265.0,weiss,4900.0,98.04,BE,329.0,Langenthal,16606.0,BE,244.0,Oberaargau,329,Langenthal,2021-01-01
444,1669622809-633,https://www.autolina.ch/elektro-auto,46'900,4900,2022.0,232.0,grau,4900.0,98.04,BE,329.0,Langenthal,16606.0,BE,244.0,Oberaargau,329,Langenthal,2021-01-01
445,1669622809-634,https://www.autolina.ch/elektro-auto,64'980,4900,,299.0,grau,4900.0,98.04,BE,329.0,Langenthal,16606.0,BE,244.0,Oberaargau,329,Langenthal,2021-01-01
446,1669622809-635,https://www.autolina.ch/elektro-auto,57'980,4900,,204.0,schwarz,4900.0,98.04,BE,329.0,Langenthal,16606.0,BE,244.0,Oberaargau,329,Langenthal,2021-01-01
447,1669622809-636,https://www.autolina.ch/elektro-auto,46'800,4900,2021.0,204.0,schwarz,4900.0,98.04,BE,329.0,Langenthal,16606.0,BE,244.0,Oberaargau,329,Langenthal,2021-01-01
448,1669622809-637,https://www.autolina.ch/elektro-auto,22'989,5610,2021.0,116.0,weiss,5610.0,0.54,AG,4080.0,Villmergen,15386.0,AG,1903.0,Bremgarten,4080,Villmergen,2010-01-01
449,1669622809-638,https://www.autolina.ch/elektro-auto,22'789,5610,2021.0,116.0,schwarz,5610.0,0.54,AG,4080.0,Villmergen,15386.0,AG,1903.0,Bremgarten,4080,Villmergen,2010-01-01
450,1669622809-639,https://www.autolina.ch/elektro-auto,22'789,5610,2020.0,116.0,schwarz,5610.0,0.54,AG,4080.0,Villmergen,15386.0,AG,1903.0,Bremgarten,4080,Villmergen,2010-01-01
451,1669622809-640,https://www.autolina.ch/elektro-auto,74'444,2504,,487.0,schwarz,2504.0,29.47,BE,371.0,Biel/Bienne,15042.0,BE,242.0,Biel/Bienne,371,Biel/Bienne,2010-01-01
452,1669622809-641,https://www.autolina.ch/elektro-auto,58'750,5745,2022.0,514.0,weiss,5745.0,100.0,AG,4283.0,Safenwil,12873.0,AG,1910.0,Zofingen,4283,Safenwil,1848-09-12
454,1669622809-643,https://www.autolina.ch/elektro-auto,38'990,8404,2019.0,476.0,blau,8404.0,17.4,ZH,230.0,Winterthur,10347.0,ZH,110.0,Winterthur,230,Winterthur,1922-01-01
