,web-scraper-order,web-scraper-start-url,Preis,plz,jahr,ps-stand,Farbe,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK,Hist.-Nummer,Kanton,Bezirks-nummer,Bezirksname,BFS Gde-nummer,Gemeindename,Datum der Aufnahme
617,1669622809-806,https://www.autolina.ch/elektro-auto,41'255,9300,,204.0,weiss,9300.0,0.04,SG,3203.0,St. Gallen,14380.0,SG,1721.0,St. Gallen,3203,St. Gallen,2003-01-01
618,1669622809-807,https://www.autolina.ch/elektro-auto,66'140,4852,,265.0,weiss,4852.0,98.88,AG,4282.0,Rothrist,12852.0,AG,1910.0,Zofingen,4282,Rothrist,1890-01-01
619,1669622809-808,https://www.autolina.ch/elektro-auto,31'900,8604,2021.0,136.0,weiss,8604.0,84.11,ZH,199.0,Volketswil,10368.0,ZH,109.0,Uster,199,Volketswil,1848-09-12
620,1669622809-809,https://www.autolina.ch/elektro-auto,59'020,6900,,204.0,blau,6900.0,19.51,TI,5192.0,Lugano,15628.0,TI,2105.0,Lugano,5192,Lugano,2013-04-14
621,1669622809-810,https://www.autolina.ch/elektro-auto,65'990,7000,2019.0,361.0,sonstiges,7000.0,100.0,GR,3901.0,Chur,16599.0,GR,1848.0,Plessur,3901,Chur,2021-01-01
622,1669622809-811,https://www.autolina.ch/elektro-auto,39'000,9444,2021.0,204.0,grau,9444.0,94.14,SG,3234.0,Diepoldsau,14394.0,SG,1723.0,Rheintal,3234,Diepoldsau,2003-01-01
623,1669622809-812,https://www.autolina.ch/elektro-auto,69'990,3018,2022.0,371.0,orange,3018.0,11.61,BE,351.0,Bern,15029.0,BE,246.0,Bern-Mittelland,351,Bern,2010-01-01
624,1669622809-813,https://www.autolina.ch/elektro-auto,69'990,3018,,371.0,orange,3018.0,11.61,BE,351.0,Bern,15029.0,BE,246.0,Bern-Mittelland,351,Bern,2010-01-01
625,1669622809-814,https://www.autolina.ch/elektro-auto,55'720,2555,2022.0,204.0,sonstiges,2555.0,98.89,BE,733.0,Brügg,15239.0,BE,242.0,Biel/Bienne,733,Brügg,2010-01-01
626,1669622809-815,https://www.autolina.ch/elektro-auto,71'890,4053,2021.0,299.0,schwarz,4053.0,9.42,BS,2701.0,Basel,11693.0,BS,1200.0,Kt. Basel-Stadt,2701,Basel,1908-01-01
627,1669622809-816,https://www.autolina.ch/elektro-auto,57'100,6596,2020.0,313.0,weiss,6596.0,100.0,TI,5108.0,Gordola,12051.0,TI,2104.0,Locarno,5108,Gordola,1848-09-12
628,1669622809-817,https://www.autolina.ch/elektro-auto,68'200,6423,,325.0,weiss,6423.0,0.46,SZ,1364.0,Ingenbohl,12657.0,SZ,506.0,Schwyz,1364,Ingenbohl,1848-09-12
629,1669622809-818,https://www.autolina.ch/elektro-auto,59'300,6055,2022.0,231.0,weiss,6055.0,81.37,OW,1401.0,Alpnach,11753.0,OW,600.0,Kt. Obwalden,1401,Alpnach,1848-09-12
630,1669622809-819,https://www.autolina.ch/elektro-auto,49'564,6055,2020.0,476.0,silber,6055.0,81.37,OW,1401.0,Alpnach,11753.0,OW,600.0,Kt. Obwalden,1401,Alpnach,1848-09-12
631,1669622809-820,https://www.autolina.ch/elektro-auto,63'878,6055,2022.0,408.0,schwarz,6055.0,81.37,OW,1401.0,Alpnach,11753.0,OW,600.0,Kt. Obwalden,1401,Alpnach,1848-09-12
632,1669622809-821,https://www.autolina.ch/elektro-auto,65'170,6055,,,,6055.0,81.37,OW,1401.0,Alpnach,11753.0,OW,600.0,Kt. Obwalden,1401,Alpnach,1848-09-12
633,1669622809-822,https://www.autolina.ch/elektro-auto,36'234,6055,2021.0,136.0,blau,6055.0,81.37,OW,1401.0,Alpnach,11753.0,OW,600.0,Kt. Obwalden,1401,Alpnach,1848-09-12
634,1669622809-823,https://www.autolina.ch/elektro-auto,41'900,6048,2022.0,204.0,weiss,6048.0,69.13,LU,1058.0,Horw,15559.0,LU,312.0,Luzern-Land,1058,Horw,2013-01-01
635,1669622809-824,https://www.autolina.ch/elektro-auto,67'190,5610,,408.0,weiss,5610.0,0.54,AG,4080.0,Villmergen,15386.0,AG,1903.0,Bremgarten,4080,Villmergen,2010-01-01
636,1669622809-825,https://www.autolina.ch/elektro-auto,18'900,8305,2017.0,170.0,schwarz,8305.0,99.8,ZH,54.0,Dietlikon,11563.0,ZH,103.0,Bülach,54,Dietlikon,1848-09-12
637,1669622809-826,https://www.autolina.ch/elektro-auto,21'900,8305,2017.0,170.0,grau,8305.0,99.8,ZH,54.0,Dietlikon,11563.0,ZH,103.0,Bülach,54,Dietlikon,1848-09-12
638,1669622809-827,https://www.autolina.ch/elektro-auto,35'900,8932,2020.0,204.0,weiss,8932.0,100.0,ZH,9.0,Mettmenstetten,12433.0,ZH,101.0,Affoltern,9,Mettmenstetten,1848-09-12
